Song;Author_band;Songwriters;Duration;Album;Album_type;No_on_album;Release_date;Link;Lyrics
Some Kind of Monster;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Bob Rock;8:25;St. Anger;Album;3;2003-06-05;https://www.metallica.com/songs/some-kind-of-monster.html;These are the eyes that can’t see me,These are the hands that drop your trust,These are the boots that kick you around,This is the tongue that speaks on the inside,These are the ears that ring with hate,This is the face that’ll never change,This is the fist that grinds you down,This is the voice of silence no more, ,These are the legs in circles run,This is the beating you’ll never know,These are the lips that taste no freedom,This is the feel that’s no so safe,This is the face you’ll never change,This is the God that ain’t so pure,This is the God that is not pure,This is the voice of silence no more, ,We the people,Are we the people?, ,Some kind of monster,The monster lives, ,This is the face that stones you cold,This is the moment that needs to breathe,These are the claws that scratch these wounds,This is the pain that never leaves,This is the tongue that whips you down,This is the burden of every man,These are the screams that pierce your skin,This is the voice of silence no more, ,This is the test of flesh and soul,This is the trap that smells so good,This is the flood that drains these eyes,These are the looks that chill to the bone,These are the fears that swing over head,These are the weights that hold you down,This is the end that will never end,This is the voice of silence no more, ,We the people,Are we the people?, ,Some kind of monster,The monster lives, ,This is the cloud that swallows trust,This is the black that uncolors us,This is the face that you hide from,This is the mask that comes undone, ,Ominous,I’m in us
So What;The Anti-Nowhere League;Nick Culmer,Chris Exall,Clive Blake;3:08;Metallica (Japan);Album;13;1991-08-12;https://www.metallica.com/songs/so-what.html;So fucking what, ,Well I’ve been to Hastings,I’ve been to Brighton,I’ve been to Eastbourne too, ,So what,So what, ,And I’ve been here,I’ve been there,I’ve been every fucking where, ,So what,So what,So what so what you boring little cunt, ,But who cares,Who cares what you do,Yeah who cares,Who cares about you you you you you, ,Well I’ve fucked a queen,I’ve fucked Bach,I’ve even sucked an old man’s cock, ,So what,So what, ,And I’ve fucked a sheep,I’ve fucked a goat,I rammed my cock right down it’s throat, ,So what,So what,So what so what you boring little fuck, ,But who cares,Who cares what you do,And who cares,Who cares about you you you you you, ,And I’ve drunk that,I’ve drunk this,I’ve spewed up on a pint of piss, ,So what,So what, ,I’ve had skank, I’ve have speed,I’ve jacked up until I bleed, ,So what,So what,So what so what you boring little cunt, ,But who cares,Who cares what you do,Yeah who cares,Who cares about you you you you you you, ,I’ve had crabs,I’ve had lice,I’ve had the clap and that ain’t nice, ,So what,So what, ,I’ve fucked this,I’ve fucked that,I’ve even fucked a school girl’s twat, ,So what,So what,So what so what you boring little fuck, ,Well who cares,Who cares what you do,And who cares,Who cares about you you you you you you, ,So fucking what
Spit Out the Bone;Metallica;James Hetfield,Lars Ulrich;7:09;Hardwired... to Self-Destruct;Album;12;2016-11-18;https://www.metallica.com/songs/spit-out-the-bone.html;Come unto me and you will feel perfection,Come unto me and dedicate,Come unto me you’ll never feel rejection,Come unto me and terminate,Remove your heart it’s only good for bleeding,Bleeding through your fragile skin,Remove your thought cause it’s only for deceiving,Deceiving thoughts destroy within,Disappear like man was never here, ,Long live machine,The future supreme,Man overthrown,Spit out the bone, ,Plug into me I guarantee devotion,Plug into me and dedicate,Plug into me and I’ll save you from emotion,Plug into me and terminate,Accelerate Utopian solution,Finally cure the Earth of man,Exterminate speeding up the evolution,Set on course a master plan,Reinvent the earth inhabitant, ,Long live machine,The future supreme,Man overthrown,Spit out the bone, ,The flesh betrays the flesh,Your man has had his time,We lay him down to rest,Machined the new divine, ,Stop breathing,And dedicate to me,Stop dreaming,And terminate for me,All meaning,You dedicate to me,All feelings,You terminate for me, ,Disappear like man was never here, ,Long live machine,Our future supreme,Your man overthrown,Spit out the bone yeah
St. Anger;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Bob Rock;7:21;St. Anger;Album;2;2003-06-05;https://www.metallica.com/songs/st-anger.html;Saint Anger ’round my neck,Saint Anger ’round my neck,He never gets respect,Saint Anger ’round my neck, ,You flush it out you flush it out,Saint Anger ’round my neck,You flush it out you flush it out,He never gets respect, ,Fuck it all and no regrets,I hit the lights on these dark sets,I need a voice to let myself,To let myself go free,Fuck it all and fuckin’ no regrets,I hit the lights on these dark sets,Medallion noose I hang myself,Saint Anger ’round my neck, ,I feel my world shake,Like an earth quake,It’s hard to see clear,Is it me? Is it fear?, ,I’m madly in anger with you, ,And I want my anger to be healthy,And I want my anger just for me,And I need my anger not to control,And I want my anger to be me, ,And I need to set my anger free, ,Set it free
Stone Cold Crazy;Queen;Freddie Mercury,Brian May,Roger Taylor,John Deacon;2:17;Rubáiyát: Elektra's 40th Anniversary;Compilation;1;1990-09-24;https://www.metallica.com/songs/stone-cold-crazy.html;Sleeping very soundly on a Saturday morning,I was dreaming I was Al Capone,Rumor going round gotta clear out of town,Smelling like a dry fish bone, ,Here come the law gonna break down the door,Gonna carry me away once more,Never never,Never want it anymore,Gotta get away from this stone cold floor, ,Crazy,Stone cold crazy you know, ,Rainy afternoon on a killer typhoon,And I’m playing with my slide trombone,Anymore anymore,Cannot take it anymore,Gotta get away from this stone cold floor, ,Crazy,Stone cold crazy you know, ,Walking down the street shooting people that I meet,Bullet loaded tommy gun,Here come the deputy,Try fucking gettin’ me,Gotta fucking get up and run, ,They got the sirens lose I’m running out of juice,They’re gonna put me in a cell,If I can’t go to heaven let me go to hell, ,Crazy,Stone cold crazy you know
Stone Dead Forever;Motörhead;Ian Fraser Kilmister,Eddie Clarke,Phil Taylor;4:52;Hero of the Day Featuring the Whole Motörheadache Mess;Single;3;1996-09-09;https://www.metallica.com/songs/stone-dead-forever.html;You think you see me in the glass,You think you hear me you better listen fast,I think I see you gone to seed,The only reasons were your guilt and greed, ,You’re out there on your own,Your face turned to stone,Whatever happened to your life?,Stone Dead Forever, ,You’re a financial wizard a top tycoon,A sweet lounge lizard with a silver spoon,You know you never had it quite so good,You didn’t know that you even could, ,The wrong side of the fold,Your touch has turned to gold,Whatever happened to your life?,Stone Dead Forever, ,It’s been a long time been a long long wait,And you’ve caught your fingers in the Pearly Gates,You’d better leave your number and we’ll call you,You know your problems ain’t exactly new, ,The time has come today,Your feet turn to clay,Whatever happened to your life?,Stone Dead Forever
The Struggle Within;Metallica;James Hetfield,Lars Ulrich;3:53;Metallica;Album;12;1991-08-12;https://www.metallica.com/songs/the-struggle-within.html;Reaching out for something you’ve got to feel,While clutching to what you had thought was real, ,Kicking at a dead horse pleases you,No way of showing your gratitude,So many things you don’t want to do,What is it? What have you got to lose?, ,What the hell?,What is it you think you’re gonna find?,Hypocrite,Boredom sets into the boring mind, ,Struggle within,It suits you fine,Struggle within,Your ruin,Struggle within,You seal your own coffin,Struggle within,The struggling within, ,Home is not a home it becomes a hell,Turning it into your prison cell,Advantages are taken not handed out,While you struggle inside your hell, ,Reaching out,Grabbing for something you’ve got to feel,Closing in,The pressure upon you is so unreal, ,Struggle within,It suits you fine,Struggle within,Your ruin,Struggle within,You seal your own coffin,Struggle within,The struggling within, ,Reaching out for something you’ve got to feel,While clutching to what you had thought was real,What the hell?,What is it you think you’re gonna find?,Hypocrite,Boredom sets into the boring mind, ,Struggle within,It suits you fine,Struggle within,Your ruin,Struggle within,You seal your own coffin,Struggle within,The struggling within
Sucking My Love;Diamond Head;Sean Harris,Brian Tatler;;;;;;https://www.metallica.com/songs/sucking-my-love.html;Over and under,Dear girl down to the sea, ,Oh yeah yeah yeah yeah yeah, ,Sweet and timely caress,Dear babe fulfillin’ me, ,I can feel her heart,It is beating down inside, ,Oh yeah yeah yeah yeah yeah, ,Tasty,Tasty,Tasty,Tasty, ,Into her valley,All her charms taste of love, ,Oh yeah yeah yeah yeah yeah, ,Fragrance of my dreams,Yeah go down take my love, ,Oh yeah yeah, ,Taste my bitter wine,‘cause there’s something boiling up inside, ,Oh yeah yeah yeah yeah yeah, ,Tasty,Tasty,Tasty,Tasty, ,Sucking my love,Oh Lord sucking my love, ,Sucking my love
Suicide & Redemption;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Robert Trujillo;9:57;Death Magnetic;Album;9;2008-09-12;https://www.metallica.com/songs/suicide-and-redemption.html;Instrumental
Sweet Amber;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Bob Rock;5:27;St. Anger;Album;8;2003-06-05;https://www.metallica.com/songs/sweet-amber.html;Wash your back so you won’t stab mine,Get in bed with your own kind,Live your life so you don’t see mine,Drape your back so you won’t shine, ,Ooh then she holds my hand,And I lie to get a smile, ,Using what I want,To get what you want, ,Ooh Sweet Amber,How sweet are you?,How sweet does it get?, ,Chase the rabbit fetch the stick,She rolls me over ’till I’m sick,She deals in habits deals in pain,I run away but I’m back again, ,Ooh then she holds my hand,And I lie to get a smile,And she squeezes tighter,I still lie to get a smile, ,She holds the pen that spells the end,She traces me and draws me in
Sweet Jane;The Velvet Underground;Lou Reed;;;;;;https://www.metallica.com/songs/sweet-jane.html;Standin’ on a corner,Suitcase in my hand,Jack’s in his corset says to Jane who’s in her vest,Me babe I’m in a rock n’ roll band,Friday night’s a picture show,Those were different times,And the poets studied rules of verse,And all the ladies rolled their eyes, ,Sweet Jane,Sweet Jane,Sweet Jane, ,Now Jack he is a banker,And Jane she is a clerk,And the both of them are saving up their money,Then they come home from work,Sittin’ by the fire,Radio just played a little classical music for you kids,The march of the wooden soldiers,And you can hear Jack say, ,Sweet Jane,Sweet Jane,Sweet Jane, ,Some people like to go out dancing,And other people they gotta work,And there’s always some evil mothers,They’ll tell you life is full of dirtAnd the women never really faint,And the villans always blink their eyes,And the children are the only ones who blush,‘cause life is just to die,But anyone who has a heart,Wouldn’t want to turn around and break it,And anyone who ever played the part,He wouldn’t want to turn around and fake it, ,Sweet Jane
That Was Just Your Life;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Robert Trujillo;7:10;Death Magnetic;Album;1;2008-09-12;https://www.metallica.com/songs/that-was-just-your-life.html;Like a siren in my head that always,Threatens to repeat,Like a blind man that is strapped into the speeding driver’s seat,Like a face,That learns to speak,When all it knew was how to bite, ,Like a misery that keeps me focused,Though I’ve gone astray,Like an endless nightmare that,I must awaken from each day,Like conviction,A premonition,Not worthy of so I deny...... I deny, ,I blind my eyes and try to force it all into place,I stitch them up see not my fall from grace,I blind my eyes I hide and feel it passing me by,I open just in time to say goodbye, ,Almost like your life,Almost like your endless fight,Curse the day is long,Realize you don’t belong,Disconnect somehow,Never stop the bleeding now,Almost like your fight,And there it went,Almost like your life, ,Like a wound that keeps on bleeding to remind me not to think,Like a raging river drowning when,I only need a drink,Like a poison,That I swallow,But I want the world to die, ,Like a release from prison,That I didn’t know I was in,Like a fight to live the past I prayed,To leave,From way back then,Like a general,Without a mission,Until the war will start again...... start again, ,I blind my eyes and try to force it all into place,I stitch them up see not my fall from grace,I blind my eyes I hide and feel it passing me by,I open just in time to say goodbye, ,Almost like your life,Almost like your endless fight,Curse the day is long,Realize you don’t belong,Disconnect somehow,Never stop the bleeding now,Almost like your fight,And there it went,Almost like your life, ,Like a touch from hell to feel how hot,That it can get if you get caught,Like a strike from heaven turns that key,And brings you straight down to your knees, ,Like a touch from hell to feel how hot,That it can get if I get caught,Like a strike from heaven to reprieve,That brings you straight down to your knees, ,Almost like your life,Almost like your endless fight,Curse the day is long,Realize you don’t belong,Disconnect somehow,Never stop the bleeding now,Almost like your fight,And there it went,Almost like your life,That was just your life
The Thing That Should Not Be;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;6:37;Master of Puppets;Album;3;1986-03-03;https://www.metallica.com/songs/the-thing-that-should-not-be.html;Messenger of fear in sight,Dark deception kills the light, ,Hybrid children watch the sea,Pray for father roaming free, ,Fearless wretch,Insanity,He watches,Lurking beneath the sea,Great old one,Forbidden site,He searches,Hunter of the shadows is rising,Immortal,In madness you dwell, ,Crawling chaos underground,Cult has summoned twisted sound, ,Out from ruins once possessed,Fallen city living death, ,Fearless wretch,Insanity,He watches,Lurking beneath the sea,Timeless sleep,Has been upset,He awakens,Hunter of the shadows is rising,Immortal,In madness you dwell, ,Not dead which eternal lie,Stranger eons death may die, ,Drain you of your sanity,Face the thing that should not be, ,Fearless wretch,Insanity,He watches,Lurking beneath the sea,Great old one,Forbidden site,He searches,Hunter of the shadows is rising,Immortal,In madness you dwell
Thorn Within;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;5:52;Load;Album;12;1996-06-04;https://www.metallica.com/songs/thorn-within.html;Forgive me Father for I have sinned,Find me guilty of the life I feel within, ,When I’m branded this mark of shame,Should I look down disgraced or straight ahead and know that you must blame?, ,I am the secret,I am the sin,I am the guilty,And I am I am the thorn within, ,Forgive me Father for I have sinned,Find me guilty when true guilt is from within, ,So point your fingers point right at me,For I am shadows and will follow you one and the same are we, ,I am the secret,I am the sin,I am the guilty,And I am I am the thorn within, ,I do your time I take your fall,I’m branded guilty for us all, ,So point your fingers point right at me,For I am shadows and will follow you one and the same are we, ,I am your secrets,I am your sin,I am your guilty,And I am I am the thorn within, ,I am the thorn within,I am the thorn within
Through the Never;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;4:04;Metallica;Album;7;1991-08-12;https://www.metallica.com/songs/through-the-never.html;All that is was and will be,Universe much too big to see, ,Time and space never ending,Disturbing thoughts questions pending,Limitations of human understanding, ,Too quick to criticize,Obligation to survive,We hunger to be alive, ,All that is ever,Ever was,Will be ever, ,Twisting,Turning,Through the never, ,In the dark see past our eyes,Pursuit of truth no matter where it lies,Gazing up to the breeze of the heavens,On a quest meaning reason,Came to be how it begun,All alone in the family of the sun,Curiosity teasing everyone,On our home third stone from the sun, ,All that is ever,Ever was,Will be ever, ,Twisting,Turning,Through the never, ,On through the never,We must go,On through the never,Out to the,Edge of forever,We must go,On through the never,Then never comes, ,All that is ever,Ever was,Will be ever, ,Who we are,Ask forever, ,Twisting,Turning,Through the never,Never
Today Your Love, Tomorrow the World;The Ramones;Douglas Colvin;2:13;St. Anger (Single);Single;3;2003-06-23;https://www.metallica.com/songs/today-your-love-tomorrow-the-world.html;I’m a shock trooper in a stupor,Yes I am,I’m a Nazi schatze,Y’know I fight for fatherland, ,I’m a shock trooper in a stupor,Yes I am,I’m a Nazi schatze,Y’know I fight for fatherland, ,Little German boy,Being pushed around,Little German boy,In a German town, ,I’m a shock trooper in a stupor,Yes I am,I’m a Nazi schatze,Y’know I fight for fatherland, ,I’m a shock trooper in a stupor,Yes I am,I’m a Nazi schatze,Y’know I fight for fatherland, ,Little German boy,Being pushed around,Little German boy,In a German town, ,Today your love tomorrow the world
To Live Is To Die;Metallica;James Hetfield,Lars Ulrich,Cliff Burton;9:49;...And Justice for All;Album;8;1988-08-25;https://www.metallica.com/songs/to-live-is-to-die.html;When a man lies he murders some part of the world,These are the pale deaths which men miscall their lives,All this I cannot bear to witness any longer,Cannot the kingdom of salvation take me home
Too Far Gone?;Metallica;James Hetfield,Lars Ulrich;4:34;72 Seasons;Album;10;2023-04-14;https://www.metallica.com/songs/too-far-gone.html;I I am desperation,Need it so bad today,I I am isolation,Static and disarray,Need this gotta have more,Crawling out my skin,Sickness scarring returns,Burning me again, ,Too far gone,Am I too far gone,Am I too far gone to save?,Help me make it through the day,No, ,I I am tribulation,Digging down to the bone,I I am agitation,Never leaves me alone,Keep on push it along,Don’t want to feel this,Sink in start to believe,That I don’t exist, ,Too far gone,Am I too far gone,Am I too far gone to save?,Help me make it through the day,Oh, ,All away,I am desperation,All away,I am isolation,All away,I am agitation,All away, ,Too far gone,Never too far gone,I’m never too far gone to save,I can make it through the day, ,Make it through the day, ,Just for today
Too Late Too Late;Motörhead;Ian Fraser Kilmister,Eddie Clarke,Phil Taylor;3:12;Hero of the Day Featuring the Whole Motörheadache Mess;Single;4;1996-09-09;https://www.metallica.com/songs/too-late-too-late.html;I see that nothing’s changed,Insist on playin’ games,Some waste of time you are,And you’re so popular,Well this is it you bitch,I got to make my switch,You find some other john,I know what’s goin’ on, ,Your move,what do I have to lose,Stalemate,Too late too late, ,I thought you was for real,But you’re a rip-off deal,Don’t give me all that crap,I just escaped your trap,You think you see the joke,But you’re just chasin’ smoke,‘cause now the thrill is gone,I know what’s goin’ on, ,Your move,What do I have to lose,Stalemate,Too late too late, ,Misunderstanding me,The way you felt so free,I’m gonna jump the gun,I’m gonna hit and run,Your credibility,Don’t cut no ice with me,I know the thrill is gone,I know what’s goin’ on, ,Your move,What do I have to lose,Stalemate,Too late too late
The Train Kept-A-Rollin’;Tiny Bradshaw;Tiny Bradshaw,Lois Mann,Howard Kay;;;;;;https://www.metallica.com/songs/the-train-kept-a-rollin.html;I caught a train met a dame,She was a hipster we kind looked the same,She was pretty from New York City,I’m walkin’ down that old fair lane,I’m in heat I’m in love,But I just couldn’t let her go, ,Well get along sweet little woman get along,On your way get along sweet little woman get along,On your way,With a heave and a ho,But I just couldn’t tell her so, ,We made a stop in Albuquerque,She musta thought I was a real cool jerk,Got off the train and put her hands up,Lookin’ so good I couldn’t let her go,But I just couldn’t tell her so, ,I said train kept a-rollin’ all night long,Train kept a-rollin’ all night long,Train kept a-rollin’ all night long,Train kept a-rollin’ all night long,With a heave and a ho,But I just couldn’t tell her so
Trapped Under Ice;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;4:04;Ride the Lightning;Album;5;1984-07-27;https://www.metallica.com/songs/trapped-under-ice.html;I don’t know how to live through this Hell,Woken up I’m still locked in this shell,Frozen soul frozen down to the core,Break the ice I can’t take anymore, ,Freezing,Can’t move at all,Screaming,Can’t hear my call,I am dying to live,Cry out,I’m trapped under ice, ,Crystallized as I lay here and rest,Eyes of glass stare directly at death,From deep sleep I have broken away,No one knows no one hears what I say, ,Freezing,Can’t move at all,Screaming,Can’t hear my call,I am dying to live,Cry out,I’m trapped under ice, ,Scream from my soul,Fate mystified,Hell forevermore, ,No release from my cryonic state,What is this? I’ve been stricken by fate,Wrapped up tight cannot move can’t break free,Hand of doom has a tight grip on me, ,Freezing,Can’t move at all,Screaming,Can’t hear my call,I am dying to live,Cry out,I’m trapped under ice
Tuesday’s Gone;Lynyrd Skynyrd;Allen Collins,Ronnie Van Zandt;9:06;Garage Inc.;Covers;10;1998-11-24;https://www.metallica.com/songs/tuesdays-gone.html;Train roll on on down the line,Won’t you please take me far away?,Now I feel the wind blow outside my door,Means I’m leaving my woman behind,Tuesday’s gone with the wind,My baby’s gone with the wind, ,And I don’t know where I’m going,I just want to be left alone,Well when this train ends I’ll try again,But I’m leaving my woman at home, ,Tuesday’s gone with the wind,Tuesday’s gone with the wind,Tuesday’s gone with the wind,My baby’s gone with the wind, ,Train roll on many miles from my home,See I’m riding my blues away,Tuesday you see she had to be free,But somehow I’ve got to carry on, ,Tuesday’s gone with the wind,Tuesday’s gone with the wind,Tuesday’s gone with the wind,My baby’s gone with the wind
Turn the Page;Bob Seger;Bob Seger;6:06;Garage Inc.;Covers;4;1998-11-24;https://www.metallica.com/songs/turn-the-page.html;On a long and lonesome highway east of Omaha,You can listen to the engines moanin’ out his one note song,You’d think about the woman or the girl you knew the night before, ,But your thoughts will soon be wanderin’ the way they always do,When you’re ridin’ sixteen hours there’s nothin’ much to do,And you don’t feel much like ridin’ you just wish the trip was through, ,Here I am,On the road again,There I am,Up on the stage, There I go,Playin’ star again,There I go,Turn the page, ,So you walk into this restaurant all strung out from the road,And you feel the eyes upon you as you’re shakin’ off the cold,You pretend it doesn’t bother you but you just want to explode, ,Yeah most times you can’t hear ’em talk other times you can,All the same old cliché’s “Is it woman? Is it man?”,And you always seem outnumbered you don’t dare make your stand,Make your stand, ,Now here I am,On the road again,There I am,Up on the stage,Here I go,Playin’ star again,There I go,Turn the page, ,Out there in the spotlight you’re a million miles away,Every ounce of energy you try to give away,As the sweat pours out your body like the music that you play, ,Later in the evenin’ as you lie awake in bed,With the echoes of the amplifiers ringin’ in your head,You smoke the day’s last cigarette rememberin’ what she said,What she said, ,And here I am,On the road again,There I am,Up on that stage,And here I go,Playin’ star again,And there I go,Turn the page, ,And I’m gone
T.V. Eye;The Stooges;Dave Alexander,Jim Osterberg,Ron Asheton,Scott Asheton;;;;;;https://www.metallica.com/songs/tv-eye.html;Lord,Aah hoo!,Stop it!,See that cat?,Yeah I do mean you,See that cat?,Yeah I do mean you,She got a TV eye on me,She got a TV eye,She got a TV eye on me,Oh, ,See that cat,Down on her back?,See that cat,Down on her back?,She got a TV eye on me,She got a TV eye,She got a TV eye on me,Oh, ,See that cat?,Yeah I love her so,See that cat?,Yeah I love her so,She got a TV eye on me,She got a TV eye,She got a TV eye on me,Oh yeah, ,Right on,Right on,Right on,Right on, ,Yeah c’mon!,See that cat?,Look here I love her so,You see that cat?,Yeah I love her so,She got a TV eye on me,She got a TV eye,She got a TV eye on me,Oh
The Unforgiven;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;6:27;Metallica;Album;4;1991-08-12;https://www.metallica.com/songs/the-unforgiven.html;New blood joins this earth,And quickly he’s subdued,Through constant pained disgrace,The young boy learns their rules, ,With time the child draws in,This whipping boy done wrong,Deprived of all his thoughts,The young man struggles on and on he’s known,A vow unto his own,That never from this day,His will they’ll take away, ,What I’ve felt,What I’ve known,Never shined through in what I’ve shown,Never be,Never see,Won’t see what might have been, ,What I’ve felt,What I’ve known,Never shined through in what I’ve shown,Never free,Never me,So I dub thee Unforgiven, ,They dedicate their lives,To running all of his,He tries to please them all,This bitter man he is, ,Throughout his life the same,He’s battled constantly,This fight he cannot win,A tired man they see no longer cares,The old man then prepares,To die regretfully,That old man here is me, ,What I’ve felt,What I’ve known,Never shined through in what I’ve shown,Never be,Never see,Won’t see what might have been, ,What I’ve felt,What I’ve known,Never shined through in what I’ve shown,Never free,Never me,So I dub thee Unforgiven, ,You labeled me,I’ll label you,So I dub thee Unforgiven
The Unforgiven II;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;6:36;Reload;Album;4;1997-11-18;https://www.metallica.com/songs/the-unforgiven-ii.html;Lay beside me tell me what they’ve done,Speak the words I want to hear to make my demons run,The door is locked now but it’s opened if you’re true,If you can understand the me then I can understand the you, ,Lay beside me under wicked skies,Through black of day dark of night we share this paralyze,The door cracks open but there’s no sun shining through,Black heart scarring darker still but there’s no sun shining through, ,No there’s no sun shining through,No there’s no sun shining, ,What I’ve felt what I’ve known,Turn the pages turn the stone,Behind the door should I open it for you?, ,What I’ve felt what I’ve known,Sick and tired I stand alone,Could you be there ‘cause I’m the one who waits for you,Or are you unforgiven too?, ,Come beside me this won’t hurt I swear,She loves me not she loves me still but she’ll never love again,She lay beside me but she’ll be there when I’m gone,Black heart scarring darker still yes she’ll be there when I’m gone,Yes she’ll be there when I’m gone,Dead sure she’ll be there, ,What I’ve felt what I’ve known,Turn the pages turn to stone,Behind the door should I open it for you?, ,What I’ve felt what I’ve known,Sick and tired I stand alone,Could you be there ‘cause I’m the one who waits for you,Or are you unforgiven too?, ,Lay beside me tell me what I’ve done,The door is closed so are your eyes,But now I see the sun now I see the sun,Yes now I see it, ,What I’ve felt what I’ve known,Turn the pages turn the stone,Behind the door should I open it for you?, ,What I’ve felt what I’ve known,Sick and tired I stand alone,Could you be there? ‘cause I’m the one who waits,The one who waits for you, ,I take this key,And I bury it in you,Because you’re unforgiven too, ,Never free,Never me,‘Cause you’re unforgiven too
The Unforgiven III;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Robert Trujillo;7:47;Death Magnetic;Album;7;2008-09-12;https://www.metallica.com/songs/the-unforgiven-iii.html;How could he know this new dawn’s light,Would change his life forever?,Set sail to sea but pulled off course,By the light of golden treasure, ,Was he the one causing pain,With his careless dreaming?,Been afraid always afraid,Of the things he’s feeling, ,He could just be gone,He would just sail on,He’ll just sail on, ,How can I be lost if I’ve got nowhere to go?,Search for seas of gold,How come it’s got so cold?, ,How can I be lost?  In remembrance I relive,And how can I blame you,When it’s me I can’t forgive?, ,These days drift on inside a fog,Thick and suffocating,His sinking life outside its hell,Inside intoxicating, ,He’s run aground Like his life,Water much too shallow,Slipping fast down with his ship,Fading in the shadows, ,Now a castaway,They’ve all gone away,They’ve gone away, ,How can I be lost if I’ve got nowhere to go?,Search for seas of gold,How come it’s got so cold?, ,How can I be lost?  In remembrance I relive,And how can I blame you,When it’s me I can’t forgive?, ,Forgive me,Forgive me not,Why can’t I forgive me?, ,Set sail to sea but pulled off course,By the light of golden treasure,How could he know this new dawn’s light,Would change his life forever?, ,How can I be lost if I’ve got nowhere to go?,Search for seas of gold,How come it’s got so cold?, ,How can I be lost?  In remembrance I relive,And how can I blame you,When it’s me I can’t forgive?
The Unnamed Feeling;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Bob Rock;7:08;St. Anger;Album;9;2003-06-05;https://www.metallica.com/songs/the-unnamed-feeling.html;Been here before, ,Been here before couldn’t say I liked it,Do I start writing all this down?,Just let me plug you into my world,Can’t you help me be uncrazy?, ,Name this for me heat the cold air,Take the chill off of my life,And if I could I’d turn my eyes,To look inside to see what’s comin’, ,It comes alive,And I die a little more,It comes alive,Each moment here I die a little more, ,Then the unnamed feeling,It comes alive,Then the unnamed feeling,Takes me away, ,I’m frantic in your soothing arms,I can not sleep in this down filled world,I’ve found safety in this loneliness,But I can not stand it anymore, ,Cross my heart and hope not to die,Swallow evil ride the sky,Lose myself in a crowded room,You fool you fool it will be here soon, ,It comes alive,And I die a little more,It comes alive,Each moment here I die a little more, ,Then the unnamed feeling,It comes alive,Then the unnamed feeling,Treats me this way,And I wait for this train,Toes over the line,And then the unnamed feeling,Takes me away, ,Get the fuck out of here,I just wanna get the fuck away from me,I rage I glaze I hurt I hate,I hate it all why? Why? Why me?, ,I cannot sleep with a head like this,I wanna cry I wanna scream,I rage I glaze I hurt I hate,I wanna hate it all away
Until It Sleeps;Metallica;James Hetfield,Lars Ulrich;4:28;Load;Album;4;1996-06-04;https://www.metallica.com/songs/until-it-sleeps.html;Where do I take this pain of mine?,I run but it stays right by my side, ,So tear me open pour me out,There’s things inside that scream and shout,And the pain still hates me,So hold me until it sleeps, ,Just like the curse just like the stray,You feed it once and now it stays,Now it stays, ,So tear me open but beware,There’s things inside without a care,And the dirt still stains me,So wash me until I’m clean, ,It grips you so hold me,It stains you so hold me,It hates you so hold me,It holds you so hold me,Until it sleeps, ,So tell me why you’ve chosen me,Don’t want your grip,Don’t want your greed,Don’t want it, ,I’ll tear me open make you gone,No more can you hurt anyone,And the fear still shakes me,So hold me until it sleeps, ,It grips you so hold me,It stains you so hold me,It hates you so hold me,It holds you holds you holds you,Until it sleeps, ,I don’t want it, ,So tear me open but beware,There’s things inside without a care,And the dirt still stains me,So wash me... till clean, ,I’ll tear me open make you gone,No longer will you hurt anyone,And the hate still shapes me,So hold me until it sleeps,Until it sleeps
Veteran of the Psychic Wars;Blue Öyster Cult;Eric Bloom,Michael Moorcock;;;;;;https://www.metallica.com/songs/veteran-of-the-psychic-wars.html;You see me now a veteran of a thousand psychic wars,I’ve been living on the edge so long,Where the winds of limbo roar,And I’m young enough to look at,And far too old to see,All my scars are on the inside,I’m not sure that there’s anything left to me, ,Don’t let these shakes go on,It’s time we had a break from it,It’s time we had some leave,We’ve been living in the flames,We’ve been eating up our brains,Oh please don’t let these shakes go on, ,You ask me why I’m weary,Why I can’t speak to you,You blame me for my silence,Say It’s time I changed and grew,But the war’s still going on dear,And there’s no end that I know,And I can’t say if we’re ever...,I can’t say if were ever gonna be free, ,Don’t let these shakes go on,It’s time we had a break from it,It’s time we had some leave,We’ve been living in the flames,We’ve been eating out our brains,Oh please don’t let these shakes go on, ,You see me now a veteran of a thousand psychic wars,My energy’s spent at last,And my armor is destroyed,I have used up all my weapons and I’m helpless and bereaved,Wounds are all I’m made of,Did I hear you say that this is victory?, ,Don’t let these shakes go on,It’s time we had a break from it,It’s time we had some leave,We’ve been living in the flames,We’ve been eating out our brains,Oh please don’t let these shakes go on,Don’t let these shakes go on,Don’t let these shakes go on
